Ep: 10, steps: 1, D loss: 0.226632, acc:  60%, G loss: 2.727486
Ep: 10, steps: 2, D loss: 0.274962, acc:  47%, G loss: 3.052446
Ep: 10, steps: 3, D loss: 0.188005, acc:  78%, G loss: 3.489122
Ep: 10, steps: 4, D loss: 0.321638, acc:  29%, G loss: 3.070116
Ep: 10, steps: 5, D loss: 0.234253, acc:  65%, G loss: 3.611448
Ep: 10, steps: 6, D loss: 0.320037, acc:  26%, G loss: 3.432224
Ep: 10, steps: 7, D loss: 0.276469, acc:  42%, G loss: 3.444586
Ep: 10, steps: 8, D loss: 0.236543, acc:  63%, G loss: 3.324601
Ep: 10, steps: 9, D loss: 0.229560, acc:  57%, G loss: 2.967950
Ep: 10, steps: 10, D loss: 0.291414, acc:  52%, G loss: 3.845808
Ep: 10, steps: 11, D loss: 0.340833, acc:  32%, G loss: 3.802567
Ep: 10, steps: 12, D loss: 0.227944, acc:  64%, G loss: 3.564645
Ep: 10, steps: 13, D loss: 0.299135, acc:  33%, G loss: 3.082732
Ep: 10, steps: 14, D loss: 0.245361, acc:  56%, G loss: 2.784467
Ep: 10, steps: 15, D loss: 0.254012, acc:  59%, G loss: 2.940650
Ep: 10, steps: 16, D loss: 0.386362, acc:  36%, G loss: 2.361309
Ep: 10, steps: 17, D loss: 0.252623, acc:  56%, G loss: 2.457536
Ep: 10, steps: 18, D loss: 0.236538, acc:  62%, G loss: 2.940356
Ep: 10, steps: 19, D loss: 0.268315, acc:  46%, G loss: 3.195179
Ep: 11, steps: 1, D loss: 0.231325, acc:  59%, G loss: 2.633447
Ep: 11, steps: 2, D loss: 0.261875, acc:  50%, G loss: 3.004955
Ep: 11, steps: 3, D loss: 0.211355, acc:  71%, G loss: 3.457559
Ep: 11, steps: 4, D loss: 0.300077, acc:  39%, G loss: 3.209620
Ep: 11, steps: 5, D loss: 0.248519, acc:  61%, G loss: 3.451888
Ep: 11, steps: 6, D loss: 0.303506, acc:  31%, G loss: 3.407759
Ep: 11, steps: 7, D loss: 0.263709, acc:  48%, G loss: 3.411841
Ep: 11, steps: 8, D loss: 0.246853, acc:  60%, G loss: 3.283145
Ep: 11, steps: 9, D loss: 0.231334, acc:  58%, G loss: 3.033371
Ep: 11, steps: 10, D loss: 0.297865, acc:  52%, G loss: 3.688426
Ep: 11, steps: 11, D loss: 0.307218, acc:  38%, G loss: 3.828909
Ep: 11, steps: 12, D loss: 0.238220, acc:  60%, G loss: 3.495266
Ep: 11, steps: 13, D loss: 0.282366, acc:  38%, G loss: 3.022098
Ep: 11, steps: 14, D loss: 0.248568, acc:  54%, G loss: 2.716029
Ep: 11, steps: 15, D loss: 0.257460, acc:  57%, G loss: 2.705258
Ep: 11, steps: 16, D loss: 0.302579, acc:  40%, G loss: 2.396570
Ep: 11, steps: 17, D loss: 0.261075, acc:  52%, G loss: 2.375142
Ep: 11, steps: 18, D loss: 0.197881, acc:  71%, G loss: 2.903481
Ep: 11, steps: 19, D loss: 0.248932, acc:  57%, G loss: 2.444778
Ep: 11, steps: 20, D loss: 0.291379, acc:  40%, G loss: 3.315754
Ep: 12, steps: 1, D loss: 0.212218, acc:  64%, G loss: 2.910500
Ep: 12, steps: 2, D loss: 0.253585, acc:  54%, G loss: 2.701525
Ep: 12, steps: 3, D loss: 0.178888, acc:  80%, G loss: 3.332852
Ep: 12, steps: 4, D loss: 0.285190, acc:  38%, G loss: 3.193892
Ep: 12, steps: 5, D loss: 0.224754, acc:  67%, G loss: 3.303936
Ep: 12, steps: 6, D loss: 0.336945, acc:  23%, G loss: 3.464251
Ep: 12, steps: 7, D loss: 0.251337, acc:  50%, G loss: 3.205972
Ep: 12, steps: 8, D loss: 0.250719, acc:  61%, G loss: 2.783663
Ep: 12, steps: 9, D loss: 0.249377, acc:  52%, G loss: 2.525229
Ep: 12, steps: 10, D loss: 0.300566, acc:  52%, G loss: 3.964077
Ep: 12, steps: 11, D loss: 0.310710, acc:  37%, G loss: 3.721178
Ep: 12, steps: 12, D loss: 0.229574, acc:  63%, G loss: 3.291527
Ep: 12, steps: 13, D loss: 0.301303, acc:  32%, G loss: 2.828011
Ep: 12, steps: 14, D loss: 0.259763, acc:  51%, G loss: 2.625283
Ep: 12, steps: 15, D loss: 0.278700, acc:  48%, G loss: 2.485644
Ep: 12, steps: 16, D loss: 0.238276, acc:  59%, G loss: 2.381801
Ep: 12, steps: 17, D loss: 0.257485, acc:  54%, G loss: 2.259368
Ep: 12, steps: 18, D loss: 0.184258, acc:  76%, G loss: 2.828448
Ep: 12, steps: 19, D loss: 0.240842, acc:  58%, G loss: 2.449104
Ep: 12, steps: 20, D loss: 0.269102, acc:  44%, G loss: 3.194371
Ep: 13, steps: 1, D loss: 0.208630, acc:  65%, G loss: 2.909248
Ep: 13, steps: 2, D loss: 0.252384, acc:  54%, G loss: 2.755142
Ep: 13, steps: 3, D loss: 0.153947, acc:  85%, G loss: 3.318259
Ep: 13, steps: 4, D loss: 0.284069, acc:  38%, G loss: 3.137321
Ep: 13, steps: 5, D loss: 0.216724, acc:  69%, G loss: 3.287123
Ep: 13, steps: 6, D loss: 0.365276, acc:  21%, G loss: 3.209001
Ep: 13, steps: 7, D loss: 0.261796, acc:  49%, G loss: 3.005546
Ep: 13, steps: 8, D loss: 0.216133, acc:  73%, G loss: 3.142071
Ep: 13, steps: 9, D loss: 0.237221, acc:  55%, G loss: 3.080650
Ep: 13, steps: 10, D loss: 0.319890, acc:  50%, G loss: 4.270338
